ISIN/CUSIP,Fund Name,Objective
TRTFX,T Rowe Price Target 2060 Fund (TRTFX),The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. Allocation changes over time in relation to its target retirement date.
TRTGX,T Rowe Price Target 2060 Fund,The Fund seeks the highest total return over time consistent with an emphasis on both capital growth and income. The Fund invests in a diversified portfolio of other T. Rowe Price stock and bond funds that represent various asset classes and sectors. Allocation changes over time in relation to its target retirement date.
PREFX,T Rowe Price Tax-Efficient Equity Fund (PREFX),"The Fund seeks to maximize after-tax growth of capital through investments primarily in common stocks.  The Fund will invest primarily in the common stocks of mid-size and, to a lesser extent, small companies that we consider capable of delivering superior earnings growth over the long-term."
PRFHX,T Rowe Price Tax-Free High Yield Fund (PRFHX),"The Fund seeks to provide investors with a high level of current income exempt from federal income taxes primarily through investment in long term, low to upper medium quality municipal securities."
PATFX,T Rowe Price Tax-Free High Yield Fund,"The Fund seeks to provide investors with a high level of current income exempt from federal income taxes primarily through investment in long term, low to upper medium quality municipal securities."
PRTAX,T Rowe Price Tax-Free Income Fund (PRTAX),"The Fund seeks a high level of income exempt from federal income taxes by investing primarily in long-term, investment grade municipal securities. The Fund normally maintains a dollar-weighted average maturity greater than 15 years."
PATAX,T Rowe Price Tax-Free Income Fund,"The Fund seeks a high level of income exempt from federal income taxes by investing primarily in long-term, investment grade municipal securities. The Fund normally maintains a dollar-weighted average maturity greater than 15 years."
PRFSX,T Rowe Price Tax-Free Short-Intermediate Fund (PRFSX),"The Fund seeks a high level of income exempt from federal income taxes consistent with modest price fluctuation by investing primarily in municipal securities. The Fund will not purchase any bonds below investment grade (e.g., BBB) by a national rating agency or, if unrated, the T. Rowe Price equivalent."
PATIX,T Rowe Price Tax-Free Short-Intermediate Fund,"The Fund seeks a high level of income exempt from federal income taxes consistent with modest price fluctuation by investing primarily in municipal securities. The Fund will not purchase any bonds below investment grade (e.g., BBB) by a national rating agency or, if unrated, the T. Rowe Price equivalent."
POMIX,T Rowe Price Total Equity Market Index Fund (POMIX),"The Fund seeks to invest in small, mid and large cap stocks representative of the Wilshire 5000 Equity Index.  Uses a sampling strategy.  Historical price trends, market capitalization, transaction costs, and other factors are weighed when selecting stock.  May purchase stocks, index futures, or options."
TRBUX,T Rowe Price Ultra Short-Term Bond Fund (TRBUX),The Fund seeks a high level of income consistent with minimal fluctuations in principal value and liquidity. The Fund normally invests at least 80% of its net assets in bonds and all of the securities purchased by the Fund. The Funds dollar-weighted average effective maturity will be 1.5 years or less.
PBDIX,T Rowe Price US Bond Enhanced Index Fund (PBDIX),The Fund seeks to provide a total return which matches or exceeds the performance of the U.S. investment-grade bond market.  Under normal market conditions the Fund will invest substantially all of its assets in bonds specifically represented in the Barclays Capital Aggregate Bond Index.
PAULX,T Rowe Price US Large-Cap Core Fund Inc,The Fund seeks to provide long-term capital growth.  The Fund will normally invest at least 80% of its net assets in the stocks of large-cap U.S. companies.  The Fund defines a large-cap company as one whose market cap is larger than the median market cap of the companies in the Russell 1000 Index.
TRULX,T Rowe Price US Large-Cap Core Inc (TRULX),The Fund seeks to provide long-term capital growth.  The Fund will normally invest at least 80% of its net assets in the stocks of large-cap U.S. companies.  The Fund defines a large-cap company as one whose market cap is larger than the median market cap of the companies in the Russell 1000 Index.
PRTIX,T Rowe Price US Treasury Intermediate Fund (PRTIX),The Fund seeks a high level of current income consistent with maximum credit protection and moderate price fluctuation in principal. The Portfolio's weighted average maturity is expected to range between 3 to 7 years. It will invest at least 85% of total assets in U.S. Treasury securities and repurchase agreements.
PRULX,T Rowe Price US Treasury Long-Term Fund (PRULX),"The Fund seeks the highest level of income consistent with maximum credit protection by investing at least 85% of total assets in US Treasury securities.  The Portfolio's weighted average maturity is expected to vary between 15 and 20 years, but may range from 10 to 30 years."
TRVLX,T Rowe Price Value Fund (TRVLX),The Fund seeks to provide long-term capital appreciation by investing in common stocks believed to be undervalued.  Income is a secondary objective.
PAVLX,T Rowe Price Value Fund,The Fund seeks to provide long-term capital appreciation by investing in common stocks believed to be undervalued.  Income is a secondary objective.
PRVAX,T Rowe Price Virginia Tax- Free Bond Fund (PRVAX),The Fund seeks to provide investors the highest level of income exempt from federal and Virginia state income taxes by investing primarily in investment grade Virginia municipal securities. The Funds average maturity is expected to exceed 15 years.
TGFRX,TANAKA Growth Fund,"The Fund seeks growth of capital by investing in common stocks and other equity securities of small, medium, and large capitalization companies. It will invest primarily in domestic securities, but it may also invest up to 45% of its net assets in foreign securities, including multinational and emerging market securities."
TCMSX,TCM Small Cap Growth Fund (TCMSX),The Fund seeks long-term capital appreciation by investing at least 80% in stocks of small capitalization companies.
TGPCX,TCW Conservative Allocation Fund,"The Fund seeks current income and, secondarily, long-term total return.  The Fund seeks to achieve this objective by investing approximately 40% of the Fund assets in equities and 60% in fixed income."
TGCFX,TCW Core Fixed Income Fund,The Fund seeks to maximize current income and achieve above average total return consistent with prudent investment management over a full market cycle. The Fund invests at least 65% of its total assets in fixed income securities rated A or higher by Moody's and S&P.
TGDMX,TCW Developing Markets Equity Fund,"The Fund seeks long-term capital appreciation. The Fund invests at least 80% of its net assets in equity securities issued by companies and financial institutions with primary business operations in, or with the majority of their net assets in or revenues or net income deriving from, Developing Market Countries."
TGEIX,TCW Emerging Markets Income Fund,"The Fund seeks high total return from capital appreciation and current income by investing at least 65% of its total assets, under normal circumstances, in debt securities issued or guaranteed by companies, financial institutions, and government entities in emerging market countries."
TGWIX,TCW Emerging Markets Local Currency Income Fund,"The Fund seeks to provide high total return from current income and capital appreciation. The Fund will invest at least 80% of its net assets in debt securities issued by non-financial companies, financial institutions and government entities in Emerging Market Countries denominated in the local currency of the issuer."
TGMAX,TCW Emerging Markets Multi-Asset Opportunities,"The Fund seeks current income and long-term capital appreciation. The Fund invests (except when maintaining a temporary defensive position) at least 80% of its net assets in debt and equity securities issued or guaranteed by companies, financial institutions and government entities in Emerging Market Countries."
TGGWX,TCW Enhanced Commodity Strategy Fund,"The Fund seeks total return which exceeds that of its commodity benchmark. Under normal circumstances, the Fund seeks to achieve its investment objective by investing in commodity linked derivative instruments backed by a portfolio of Fixed Income Instruments."
TGGBX,TCW Global Bond Fund,"The Fund seeks total return. The Fund invests at least 80% of its net assets in debt securities of government and corporate issuers in a number of countries, including United States, developed and emerging market countries. The Fund does not limit its investments to a particular credit or ratings category."
TGREX,TCW Global Real Estate Fund,The Fund seeks to maximize total return from current income and long-term capital growth. The Fund will invest at least 80% of its net assets in equity securities of real estate investment trusts and real estate companies. It will invest in securities of issuers located in at least three different countries.
TGHYX,TCW High Yield Bond Fund,"The Fund seeks to maximize current income and achieve above average total return consistent with reasonable risk over a full market cycle. The Fund invests in high yield bonds, commonly known as ""junk"" bonds."
TGICX,TCW International Small Cap Fund,The Fund seeks seek long term capital appreciation. The Fund will invest in equity securities of small capitalization companies that are domiciled outside the United States or whose primary business operations are outside the United States.
TGUSX,TCW New America Premier Equities Fund,"The Fund seeks to provide long-term capital appreciation. Under normal circumstances, the Fund invests at least 80% of the value of its net assets, plus any borrowings for investment purposes, in equity securities (common and preferered stock, ADRs, convertible stock, convertible debt, etc.) of U.S. companies."
TGDFX,TCW Relative Value Dividend Appreciation Fund,"The Fund seeks to realize a high level of dividend income consistent with prudent investment management. Capital appreciation is a secondary objective. Under normal circumstances, the Fund invests at least 80% of the value of its net assets in equity securities of companies that have a record of paying dividends."
TGDIX,TCW Relative Value Large Cap Fund,"The Fund seeks long term capital appreciation, with a secondary goal of current income.  Invests at least 65% of its total assets in equity securities of large capitalization companies."
TGVOX,TCW Relative Value Mid Cap Fund,The Fund seeks long-term capital appreciation by investing at least 65% of its total assets in equity securities of companies within the range of the Russell MidCap Value Index.
TGCEX,TCW Select Equities Fund,"The Fund seeks long-term capital appreciation. The fund normally invests at least 65% of assets in common stocks and convertibles of well-established companies with market capitalizations of $1 billion or more. It typically maintains 30-50 individual securities, and usually holds them for one to two years."
TGSMX,TCW Short Term Bond Fund,"The Fund seeks maximum current income.  Invests primarily in short-term mortgage-backed securities guaranteed by the US Government, its sponsored corporations, or in private issued mortgage-backed securities rated Aa or higher by Moody's or AA or higher by S&P."
TGLMX,TCW Total Return Bond Fund,The Fund seeks to maximize current income and achieve above average total return consistent with prudent investment management over a full market cycle.
TEBRX,Teberg Fund (TEBRX),"The Fund seeks to maximize total return (capital appreciation plus income) by investing primarily in shares of any number of other no-load and load-waived mutual funds.  Over time, the Fund's asset mix is likely to consist of a combination of equity, fixed income, or money market funds."
XLK,Technology Select Sector SPDR ETF (XLK),"The Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Technology Select Sector Index. Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the Index."
TCWAX,Templeton China World Fund,"The Fund seeks long-term capital appreciation. The Fund invests at least 80% of its net assets in securities of China companies. China companies are those that are organized under the laws of, or with a principal office in, the People's Republic of China, Hong Kong or Taiwan."
TEDMX,Templeton Developing Markets Trust,"The Fund seeks long-term capital appreciation by investing at least 65% of its assets in equity securities of developing market countries. Developing market countries include those considered to be developing by the World Bank, the International Finance Corporation, or the United Nations."
FEMGX,Templeton Emerging Markets Bond Fund,The Fund seeks current income with capital appreciation as a secondary goal. The Fund invests at least 80% of its net assets in a non-diversified portfolio of bonds issued by governments or government-related entities located in emerging market countries as well as bonds issued by emerging market corporate entities.
TEMZX,Templeton Emerging Markets Small Cap Fund,"The Fund seeks long-term capital appreciation.  The Fund will invest at least 80% of its net assets in securities of small cap companies located in emerging market countries.  Emerging market countries typically are located in the Asia-Pacific region, Eastern Europe, the Middle East, Central and South America and Africa."
TEMFX,Templeton Foreign Fund,"The Fund seeks long-term capital growth by investing primarily in the equity securities of companies located outside the U.S., including emerging markets. The fund generally invests up to 25% of its total assets in debt securities of companies and governments located anywhere in the world."
TFSCX,Templeton Foreign Smaller Companies Series (TFSCX),"The Fund seeks long-term capital growth by investing at least 80% of its net assets in investments of smaller companies located outside the U.S., including emerging markets."
TFMAX,Templeton Frontier Markets Fund,"The Fund seeks long-term capital appreciation.  Under normal market conditions, the Fund will invest at least 80% of its net assets in securities of companies located in frontier market countries.  The Fund invests primarily in equity securities."
TAGBX,Templeton Global Balanced Fund,"The Fund seeks both income and capital appreciation.  Under normal market conditions, the Fund invests in a diversified portfolio of debt and equity securities  such as corporate, foreign and U.S. Treasury bonds, as well as stocks with attractive dividend yields."
JSSSX,Jackson Square All-Cap Growth Fund,The Fund seeks long-term capital appreciation. The Fund is diversified and invests primarily in common stocks of growth-oriented companies of any size that the Adviser believes have long-term capital appreciation potential and may grow faster than the U.S. economy.
JSPTX,Jackson Square Global Growth Fund,"The Fund seeks long-term capital appreciation. The Fund invests primarily in common stocks of growth-oriented U.S. and non-U.S. companies of any size, which may include companies located or operating in developed, emerging, or frontier markets, that the Adviser believes have long-term capital appreciation potential."
JSPIX,Jackson Square Large-Cap Growth Fund Institutional Cl (JSPIX),The Fund seeks to invest in common stocks of growth oriented companies that have long-term capital appreciation potential and expect to grow faster than the U.S. economy.  The Fund invests at least 80% of its net assets in equity securities of large-capitalization companies.
JSPJX,Jackson Square Large-Cap Growth Fund Investor Cl (JSPJX),The Fund seeks to invest in common stocks of growth oriented companies that have long-term capital appreciation potential and expect to grow faster than the U.S. economy.  The Fund invests at least 80% of its net assets in equity securities of large-capitalization companies.
DPLGX,Jackson Square Large-Cap Growth Fund,The Fund seeks to invest in common stocks of growth oriented companies that have long-term capital appreciation potential and expect to grow faster than the U.S. economy.  The Fund invests at least 80% of its net assets in equity securities of large-capitalization companies.
DPCEX,Jackson Square Select 20 Growth Fund,"The Portfolio seeks long-term capital appreciation.  Invests primarily in common stock of companies believed to have high earnings potential.  This determination is based on an analysis of historic or projected growth rate, PER ratio, and cash flows.  Undervalued stock is sought meeting these and additional factors."
JSMVX,Jackson Square SMID-Cap Growth Fund Investor Cl (JSMVX),The Fund seeks long-term capital appreciation. The Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) primarily in common stocks of growth-oriented small-and mid-capitalization companies that have long-term capital appreciation potential and may grow faster than the U.S. economy.
JSMTX,Jackson Square SMID-Cap Growth Fund,The Fund seeks long-term capital appreciation. The Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) primarily in common stocks of growth-oriented small-and mid-capitalization companies that have long-term capital appreciation potential and may grow faster than the U.S. economy.
JSMTX,Jackson Square SMID-Cap Growth Fund,The Portfolio seeks long-term capital appreciation by investing at least 80% of its assets in small-capitalization companies (defined as those which generally represent the smallest 15% in terms of market capitalization of U.S. equity securities listed on a national securities exchange or NASDAQ).
JAMFX,Jacob Internet Fund,"The Fund seeks long-term growth of capital.  The Fund typically invests at least 80% of its net assets in securities of Internet companies.  The Fund primarily invests in common stocks and securities convertible into common stocks, but may invest up to 35% in fixed income or debt securities."
JMIGX,Jacob Micro Cap Growth Fund,"The Fund seeks to provide maximum capital appreciation, consistent with reasonable risk to principal."
JSIGX,Jacob Small Cap Growth Fund,"The Fund seeks long-term growth of capital. The fund invests at least 80% of its assets in small capitalization companies, defined as those companies with market capitalizations within the capitalization range of the Russell 2000 Growth Index at the time of purchase. The fund is managed in an aggressive growth style."
JLGAX,JAG Large Cap Growth Fund,The Fund seeks capital appreciation. The Fund invests primarily in common stocks of US large capitalization companies that the Fund believes have strong earnings and revenue growth potential. The Fund invests at least 80% of its in large cap stocks of companies with market capitalization of at least $8 billion.
JASCX,James Advantage Small Cap Fund (JASCX),"The Fund seeks long-term capital appreciation.  Invests primarily in common stocks of small capitalization companies, defined by as those companies with market capitalizations of $1.5 billion or less at the time of purchase.  The Adviser will normally sell a security when the market capitalization exceeds $2 billion."
JAVAX,James Aggressive Allocation Fund (JAVAX),"The Fund seeks to provide total return through a combination of growth and income. Preservation of capital in declining markets is a secondary objective. The Fund invests in equity securities of foreign and domestic companies that the Adviser believes are undervalued, and in high quality fixed income securities."
INCAX,James Alpha Hedged High Income,"The Fund seeks to provide high current income. Secondarily, capital preservation with the potential for capital appreciation. Under normal market conditions, The Fund primarily all of its assets in fixed income and fixed income related securities, using a combination of long-short, long-only and hedging strategies."
GLRIX,James Balanced Golden Rainbow Fund,"The Fund seeks to provide total return through a combination of growth and income, from investing in equity and/or debt securities, and preservation of capital in declining markets. The Fund will attempt to provide total return in excess of the rate of inflation over the long term (three to five years)."
JMCRX,James Micro Cap Fund (JMCRX),"The Fund seeks to provide long-term capital appreciation.  Under normal circumstances, the Fund will invest at least 80% of its net assets in equity securities of foreign and domestic micro capitalization companies that the Adviser believes are undervalued."
JAMEX,Jamestown Equity Fund (JAMEX),The Fund seeks long term growth of capital through investment in a diversified portfolio composed primary of common stocks. Current income is incidental to this objective and may not be significant.
JAGAX,Janus Adaptive Global Allocation Fund,The Fund seeks total return through growth of capital and income. The Fund seeks to achieve its investment objective by allocating its assets across a portfolio of equity and fixed-income investments. The allocation of the Funds assets will provide exposure of 70% to global equity investments and 30% to global bonds.
JAQAX,Janus Asia Equity Fund,The Fund seeks long term growth of capital. The Fund invests at least 80% of its net assets in equity securities of Asian issuers (excluding Japanese issuers). The Fund may also invest its assets in derivatives and in U.S. and foreign debt securities.
JDBAX,Janus Balanced Fund,"The Fund seeks long-term capital growth, consistent with preservation of capital and balanced by current income.  The Fund normally invests 50-60% of its assets in equity securities selected primarily for their growth potential and 40-50% of its assets in securities selected primarily for their income potential."
JCNAX,Janus Contrarian Fund,"The Fund seeks long-term growth of capital.  The Fund pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets in equity securities with the potential for long-term growth of capital.  The Fund will typically seek attractively valued companies."
JDDAX,Janus Diversified Alternatives Fund,"The Fund seeks absolute return with low correlation to stocks and bonds. Under normal market conditions, the Fund pursues its investment objective by investing in a diverse group of return drivers, each a type of risk premium, collectively, risk premia, across equity, fixed income, commodity, and currency asset classes."
JDMAX,Janus Enterprise Fund,"The Fund seeks long-term growth of capital.  The Fund pursues its investment objective by investing primarily in common stocks selected for their growth potential, and normally invests at least 50% of its equity assets in medium-sized companies."
JDFAX,Janus Flexible Bond Fund,"The Fund seeks to obtain maximum total return, consistent with preservation of capital. The Fund invests at least 80% of its net assets in bonds. The Fund will invest at least 65% of its assets in investment grade debt securities and will maintain an average-weighted effective maturity of five to ten years."
JDCAX,Janus Forty Fund,"The Fund seeks long-term growth of capital and pursues its goal by investing primarily in common stock of issuers of any size, which may include well established issuers and/or smaller emerging growth companies."
JCAAX,Janus Global Allocation Fund - Conservative,The Portfolio seeks the highest return over time consistent with a primary emphasis on income and a secondary emphasis on growth of capital.  The Portfolio seeks to achieve its objective by investing in other Janus mutual funds consisting of approximately 40% stocks and 60% bonds and money market securities.
JGCAX,Janus Global Allocation Fund - Growth,The Portfolio seeks the highest return over time consistent with a primary emphasis on growth of capital and a secondary emphasis on income.  The Portfolio seeks to achieve its objective by investing in other Janus mutual funds consisting of approximately 80% stocks and 20% bonds and money market securities.
JMOAX,Janus Global Allocation Fund - Moderate,"The Fund seeks total return through growth of capital and income. The Fund, under normal circumstances, invests in other Janus Henderson mutual funds that represent a variety of asset classes and investment styles and provide exposure to issuers that are economically tied to countries throughout the world."
JGBAX,Janus Global Bond Fund,"The Fund seeks total return, consistent with preservation of capital. The Fund pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets in bonds. The Fund invests in corporate debt securities of issuers in a number of different countries, which may include United States."
JFNAX,Janus Global Life Sciences Fund,"The Fund seeks long-term growth of capital. The Fund invests, under normal circumstances, at least 80% of its net assets in securities of companies that the portfolio managers believe have a life science orientation.  The Fund normally invests in issuers from several different countries, which may include United States."
JFNIX,Janus Global Life Sciences,"The Fund seeks long-term growth of capital. The Fund invests, under normal circumstances, at least 80% of its net assets in securities of companies that the portfolio managers believe have a life science orientation.  The Fund normally invests in issuers from several different countries, which may include United States."
JERAX,Janus Global Real Estate Fund,"The Fund seeks total return through a combination of capital appreciation and current income. The Fund invests, under normal circumstances, at least 80% of its net assets in equity securities of real estate-related companies. Such companies may include those in the real estate industry or real estate-related securities."
ODGIX,Oak Ridge Disciplined Growth Fund,"The Fund seeks long-term growth of capital. Under normal market conditions, the Fund will invest at least 80% of its net assets (including amounts borrowed for investment purposes) in equity securities of issuers that are organized in the U.S. and the securities of which are principally traded on a major U.S. exchange."
ORDAX,Oak Ridge Dividend Growth Fund,The Fund seeks to provide current income and long-term capital appreciation. The Fund will invest at least 80% of its net assets in equity securities that have a record of paying dividends. The Fund will invest primarily in mid-cap and large-cap US companies with market capitalizations of $5 billion or higher.
ORSAX,Oak Ridge Dynamic Small Cap Fund,The Fund seeks long-term capital appreciation. The Fund will invest at least 80% of its net assets in equity securities of small capitalization US companies. The Fund considers small capitalization companies to be companies market capitalizations within the range of those companies included in the Russell 2000 Index.
ORIAX,Oak Ridge International Small Cap Fund,The Fund seeks long-term capital appreciation. The Fund invests primarily in a diversified portfolio of common stocks of non-U.S. companies. The Fund invests at least 80% of its net assets in equity securities of small-cap companies that is within the range of those companies included in the MSCI EAFE Small Cap Index.
ORILX,Oak Ridge Large Cap Growth Fund,"The Fund seeks capital appreciation by investing in the equity securities of domestic large-cap companies, believed by the Adviser to have the potential for accelerated earnings growth."
ORIGX,Oak Ridge Small Cap Growth Fund,"The Fund seeks capital appreciation by investing primarily in equity securities of domestic small capitalization companies. The Fund may invest in all types of equity securities that, in the opinion of the Manager, have the potential to appreciate faster than the general market."
OAKBX,Oakmark Equity and Income Fund,The Fund seeks income and preservation and growth of capital. The Fund invests approximately 40-75% of its total assets in common stocks and up to 60% of its total assets in debt securities issued by U.S. or non-U.S. governments and corporate entities rated at the time of purchase within the two highest grades.
OAKMX,Oakmark Fund,"The Fund seeks long-term capital appreciation predicated on the belief that, over time, market price and value converge, and that investment in securities priced significantly below long-term value presents the best opportunity to achieve this objective."
OAKGX,Oakmark Global Fund,"The Fund seeks long-term capital appreciation by investing 25-75% of its assets in the securities of U.S. companies and 25-75% of its assets in non-U.S. companies.  There are no geographic limits on the Fund's non-U.S. investments, and it may invest in securities of companies located in developed and emerging markets."
OAKWX,Oakmark Global Select Fund,"The Fund seeks long-term capital appreciation by investing in common stocks of U.S. and non-U.S. companies located in at least three countries.  There are no geographic limits on the Fund's non-U.S. investments, and the Fund may invest in securities of companies located in developed and emerging markets."
OAKIX,Oakmark International Fund,The Fund seeks long-term capital appreciation by investing primarily in a diversified portfolio of international securities which are priced significantly below long-term value.  There are no geographic limits on the Fund's non-U.S. investments.
OAKEX,Oakmark International Small Cap Fund,The Fund seeks long-term capital appreciation. The Fund invests primarily in equity securities of non-U.S. issuers with small market capitalizations.
OAKLX,Oakmark Select Fund,The Fund seeks long-term capital appreciation by investing primarily in a non-diversified portfolio of equity securities which are priced significantly below long-term value.
OBCHX,Oberweis China Opportunities Fund (OBCHX),"The Fund seeks to maximize long-term capital appreciation. The Fund invests at least 80% of its assets in China securities. The Fund invests principally in the common stocks of companies that the Funds investment adviser, and sub-adviser believe have the potential for significant long-term growth in market value."
OBEGX,Oberweis Emerging Growth Fund (OBEGX),"The Fund seeks to maximize capital appreciation by investing in companies that have the potential for above average long-term growth in market value based on an analysis of 8 factors called the ""Oberweis Octagon"" and with an average market capitalization less than $1.5 billion."
OBIOX,Oberweis International Opportunities Fund (OBIOX),"The Fund seeks long-term growth.  Under normal circumstances, the Fund will invest at least 80% of its net assets in the securities of companies based outside the United States.  Stocks are selected based on, among other things, fundamental analysis."
OBIIX,Oberweis International Opportunities Institutional Fund (OBIIX),"The Fund seeks to maximize long-term capital appreciation. The Fund invests, under normal circumstances, at least 80% of its net assets in securities of companies based outside the United States. The Fund seeks to invest in those companies which OAM considers to have above-average long-term growth potential."
OBMCX,Oberweis Micro-Cap Fund (OBMCX),The Fund seeks to maximize capital appreciation by investing in companies that have potential for above average growth and which have a market capitalization of no more than $400 million.
OBSOX,Oberweis Small-Cap Opportunities Fund (OBSOX),The Fund seeks to maximize capital appreciation by investing in companies that have potential for above average growth and which have a market capitalization between $500 million and $8 billion.
SLIM,Obesity ETF (SLIM),"The Fund seeks investment results that correspond to the performance of an index which is designed to track the performance of companies globally that are positioned to profit from servicing the obese, including biotechnology, pharmaceutical and health care whose business is focused on obesity and obesity related disease."
OCMAX,OCM Gold Fund,"The Fund seeks long-term growth of capital. Under normal market conditions, the Fund invests normally at least 80% of its net assets, plus borrowings for investment purposes in equity securities of domestic and foreign companies of any size engaged in all sectors of the gold mining and precious metals industries."
OWFIX,Old Westbury Fixed Income Fund (OWFIX),"The Fund seeks total return consisting of current income and capital appreciation.  The Fund invests primarily in a diversified portfolio of investment-grade bonds.  The Fund invests at least 80% of its net assets in fixed income including corporate, asset-backed, mortgage-backed, and U.S. government securities."
OWLSX,Old Westbury Large Cap Strategies Fund (OWLSX),The Fund seeks long-term growth of capital primarily through investment in a diversified portfolio of marketable equity securities of issuers domiciled outside the U.S.
OWMBX,Old Westbury Municipal Bond Fund (OWMBX),"The Fund seeks to provide a high level of income that is exempt from federal regular income tax.  The Fund invests primarily in a diversified portfolio of investment-grade municipal securities, which includes tax-free debt securities of states, territories, and possessions of the U.S."
OWSMX,Old Westbury Small & Mid Cap Fund (OWSMX),"The Fund seeks long-term capital appreciation.  The Fund invests in a broad, diversified portfolio of common stocks of small-capitalization companies of U.S. and non-U.S. companies in foreign countries, including emerging market countries."
OFAFX,Olstein All Cap Value Fund,The Fund seeks to invest according to the value-oriented philosophy developed by Robert A. Olstein in the 1970s. This philosophy involves a detailed screening analysis of company financial statements which signals events affecting the company's stock value.
OFSAX,Olstein Strategic Opportunities Fund,The Fund seeks long-term capital appreciation and its secondary objective is income.  The Fund seeks to achieve its objectives by investing primarily in common stocks of small- to mid-sized companies that are selling at a significant discount to its proprietary cash flow-based calculation of private market value.
OTRGX,OnTrack Core Fund,"The Fund seeks total return while keeping the Fund's volatility and downside risk below that of major equity market indices. The Fund will use a flexible investment approach that emphasizes capital preservation, but allows the portfolio managers to adopt a less conservative posture and to increase on capital appreciation."
OAAAX,Oppenheimer Active Allocation Fund,"The Fund seeks long-term growth of capital with a secondary objective of current income by allocating its assets with following target weightings: fixed income, 20%, U.S. equity, 40%  other asset classes, 5% and tactical allocation component, 20% of net assets."
OPTFX,Oppenheimer Capital Appreciation Fund,The Fund seeks capital appreciation by investing in securities of growth-type companies and cyclical industries considered to have opportunities for capital growth.
OPPEX,Oppenheimer Capital Income Fund,"The Fund seeks as much current income as is compatible with prudent investment.  Under normal market conditions, the Fund invests 65% of its total assets in equity and debt securities that are expected to generate income. The Fund focuses its investments in both debt and equity securities."
OACIX,Oppenheimer Conservative Investor Fund,"The Fund seeks current income with a secondary objective of long-term growth of capital by allocating its assets to Underlying Funds to seek following target weightings: fixed income, 70%  U.S.  equity, 15%  international equity, 5% other asset classes, 10% of net assets."
OPIGX,Oppenheimer Core Bond Fund,The Fund seeks to purchase investment-grade fixed-income securities and to maintain a weighted average life of the portfolio between five and ten years.
OFIAX,Oppenheimer Corporate Bond Fund,"The Fund seeks total return. The Fund will invest at least 80% of its net assets in debt securities, and in derivatives and other instruments that have economic characteristics similar to such securities. The Fund may also use derivatives to seek increased returns or to try to manage investment risks."
ODMAX,Oppenheimer Developing Markets Fund,The Fund seeks aggressive capital appreciation by investing in common stocks of issuers in emerging and developing markets throughout the world. The Fund will invest at least 80% of its total net assets in equity securities of companies with high growth potential in at least three developing markets.
OPOCX,Oppenheimer Discovery Fund,"The Fund seeks capital appreciation. The Fund mainly invests in equity securities which include common stocks, preferred stocks, convertible securities, rights, warrants and options of U.S. companies with market capitalization of less than $3 billion."
OEGAX,Oppenheimer Discovery Mid Cap Growth Fund,The Fund seeks capital appreciation.  The Fund emphasizes investments in equity securities of small- & mid-cap companies. The Fund will invest at least 80% of its net assets (plus any borrowings for investment purposes) in small- & mid-cap companies.
OSVAX,Oppenheimer Dividend Opportunity Fund,"The Fund seeks total return. Under normal market conditions, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in dividend paying stocks. The Fund will invest primarily in common stocks of U.S. companies that the portfolio manager believes to be undervalued."
EMIAX,Oppenheimer Emerging Markets Innovators Fund,"The Fund seeks capital appreciation. The Fund mainly invests in equity securities of issuers in emerging and developing markets throughout the world. Under normal market conditions, the Fund will invest at least 80% of its net assets in equity securities of issuers that are economically tied to an emerging market country."
OEMAX,Oppenheimer Emerging Markets Local Debt Fund,"The Fund seeks total return.  The Fund invests mainly in debt securities of government and corporate issuers in foreign emerging market countries.  The Fund can invest in various types of debt securities, including government bonds, corporate debt obligations, structured notes, and other debt obligations."
OAEIX,Oppenheimer Equity Income Fund,"The Fund seeks total return by mainly investing in undervalued U.S. stocks. The Fund invests 80% of its assets in equity securities including preferred stocks, warrants and securities convertible into common stocks. The Fund invests in equities both for current income from dividends as well as for growth opportunities."
OAAIX,Oppenheimer Equity Investor Fund,"The Fund seeks long-term growth of capital by investing in other Oppenheimer Funds with the following target weightings: international equity, 30% of net assets  and U.S. equity, 70% of net assets."
RWW,Oppenheimer Financials Sector Revenue ETF (RWW),"The Fund seeks to provide investment results that correspond generally, before fees and expenses, to the performance of the S&P 500 Financials Sector Revenue-Weighted Index. It will invest at least 80% of its net assets, plus any borrowings for investment purposes, in financials companies included in the Underlying Index."
QVOPX,Oppenheimer Fundamental Alternatives Fund,The Fund seeks capital appreciation by looking for opportunities in the equity and fixed-income markets.
QVGIX,Oppenheimer Global Allocation Fund,The Fund seeks a combination of growth of capital and investment income. The Fund invests at least 50% of its total assets in common stocks that the portfolio managers believe are undervalued in the marketplace.
